"id","name","abbreviation","type"
6050,"Bidan Kesehatan Department of Health Indonesia","Bidan Kesehatan DoH Indonesia","Government"
14913,"Bidna Capoeira","Bidna Capoeira","NGOs"
14843,"Bien-Etre de la Femme et de l'Enfant au Niger","BEFEN","NGOs"
6263,"Bienvenu Refugee Shelter","BRS","Private Orgs. & Foundations"
7220,"BIJOU Trust","BIJOU Trust","Private Orgs. & Foundations"
12836,"Bilal Foundation","BF","Private Orgs. & Foundations"
5384,"Bilateral (affected government)","Bilateral (affected government)","Government"
13709,"Bilkent Holding","Bilkent Holding","Private Orgs. & Foundations"
5369,"Bill and Melinda Gates Foundation","Bill and Melinda Gates Foundation","Private Orgs. & Foundations"
12848,"BIMKOM Planners for Planning Rights","BIMKOM ","NGOs"
15674,"Binti Sudan Foundation","BSF","NGOs"
14597,"BINUCA","BINUCA","UN Agencies"
13143,"Bioforce","Bioforce","NGOs"
14750,"Biogen Idec","Biogen Idec","Private Orgs. & Foundations"
13823,"Biomet Inc.","Biomet","Private Orgs. & Foundations"
15831,"Bir wa Tawasul Organization","BTO","NGOs"
7587,"Birdlife International","Birdlife International","NGOs"
14400,"Birzeit University (BZU)","Birzeit University (BZU)","Private Orgs. & Foundations"
16548,"Bitmakaly Women Empowerment Organization","BWEO","NGOs"
14093,"Bjerknes Centre for Climate Research","BCCR","Private Orgs. & Foundations"
15068,"Blady Charitable Organization","BCO","NGOs"
8206,"Blés du désert","Blés du désert","NGOs"
15617,"Blessing Hands Foundation","BHF","NGOs"
16514,"Blessing Welfare Association","BWA","NGOs"
15133,"BLLF","BLLF","NGOs"
13696,"Bloomberg","Bloomberg","Private Orgs. & Foundations"
7184,"Blue Crescent Humanitarian Aid and Development Foundation","BCHADF","NGOs"
13621,"Blue Cross and Blue Shield of Minnesota Foundation, Inc.","Blue Cross Foundation","Private Orgs. & Foundations"
13833,"BLU-MED Response Systems ","BLU-MED","Private Orgs. & Foundations"
8114,"BMaA","BMaA","NGOs"
6357,"BMI","BMI","Private Orgs. & Foundations"
13264,"BMO Financial Group","BMO Financial Group","Private Orgs. & Foundations"
6801,"BMVg","BMVg","Private Orgs. & Foundations"
14271,"BMW Group","BMW Group","Private Orgs. & Foundations"
14751,"BNPP","BNPP","Private Orgs. & Foundations"
14117,"Boeing Company","Boeing Company","Private Orgs. & Foundations"
16511,"Bohol Chamber of Commerce and Industry, Inc.","BCCI","NGOs"
16307,"Bohol Evangelical Disaster Response Network","BEDRN","NGOs"
16490,"Bohol Local Development Foundation","BLDF","NGOs"
8838,"Bokoka Zonal Integrated Development Programme - Church of Uganda","BOZIDEP","NGOs"
8723,"BOLHISPANIA","BOLHISPANIA","Private Orgs. & Foundations"
7337,"Bolivia","Bolivia","Government"
6011,"Bolivian Red Cross","Bolivia RC","Red Cross / Red Crescent"
15065,"Bomberos Unidos Sin Fronteras","BUSF","Private Orgs. & Foundations"
14752,"Booz Allen Hamilton","Booz Allen Hamilton","Private Orgs. & Foundations"
7827,"BORDA/LPTP","BORDA/LPTP","NGOs"
14753,"BorgWarner","BorgWarner","Private Orgs. & Foundations"
7521,"Bosnia & Herzegovina","Bosnia & Herzegovina","Government"
5711,"Boston Archiepiscopal Diocese","Boston Archiepiscopal Diocese","Private Orgs. & Foundations"
13897,"Boston Foundation","tBf","Private Orgs. & Foundations"
13801,"Boston Foundation (Ansara Family Fund)","Boston Foundation (Ansara Family Fund)","Private Orgs. & Foundations"
5397,"Botswana","Botswana","Government"
6620,"Botswana Red Cross Society","Botswana RC","Red Cross / Red Crescent"
14158,"BP Foundation","BP Foundation","Private Orgs. & Foundations"
7990,"BRAC FOUNDATION","BRAC FOUNDATION","Private Orgs. & Foundations"
6542,"BRASCRI ","BRASCRI","NGOs"
5398,"Brazil","Brazil","Government"
7280,"Brazilian Red Cross","Brazil RC","Red Cross / Red Crescent"
16810,"BreastFeeding Promotion Support Consortium","BPSC","NGOs"
8984,"Bridderlech Deelen","BD","NGOs"
13738,"Bridgestone Group","Bridgestone ","Private Orgs. & Foundations"
15238,"Bright Educational Society","BES","NGOs"
13937,"Bright Future Organization","BFO","Private Orgs. & Foundations"
13538,"Brink's Company","Brink's Company","Private Orgs. & Foundations"
13336,"Bristol-Myers Squibb","Bristol-Myers Squibb","Private Orgs. & Foundations"
8448,"Britain Nepal Medical Trust ","BNMT","NGOs"
5308,"British Agencies Afghanistan Group","BAAG","NGOs"
13312,"British Airways","BA","Private Orgs. & Foundations"
13212,"British Council","British Council","NGOs"
5565,"BRITISH ORG. FOR MEDICAL AND SCIENTIFIC ASSISTANCE","BOMSA","NGOs"
110,"British Red Cross","British RC","Red Cross / Red Crescent"
13605,"British Virgin Islands","British Virgin Islands","Government"
13337,"Broadview Networks","Broadview Networks","Private Orgs. & Foundations"
6807,"Brookings Institute","BI","Private Orgs. & Foundations"
14704,"Brother Industries Ltd.","Brother Industries Ltd.","Private Orgs. & Foundations"
15820,"Brotherhood Association humanity of Human Rights","Brotherhood Association humanity of Human Rights","NGOs"
6821,"Brother's Brother Foundation","BBF","NGOs"
15761,"Brothers Relief and developement Organisation","BRADO","NGOs"
5300,"BRR","BRR","NGOs"
6023,"Brunei Darussalam","Brunei Darussalam","Government"
13959,"Brunei Darussalam Red Crescent Society","Brunei RC","Red Cross / Red Crescent"
13558,"BTC","BTC","Private Orgs. & Foundations"
8835,"B'Tselem - the Israeli Information Center for Human Rights in the Occupied Territories","B'Tselem","NGOs"
6083,"BUCO - CRONGD","BUCO - CRONGD","NGOs"
14902,"Buco Cotonou","Buco Cotonou","Private Orgs. & Foundations"
16695,"Buddhistforbundet","Buddhistforbundet","NGOs"
13243,"Build Change","BC","Private Orgs. & Foundations"
13441,"Build-A-Bear Workshop Foundation","Build-A-Bear Workshop Foundation","Private Orgs. & Foundations"
15236,"Building Advanced Society through Integrated Community","BASIC","NGOs"
8113,"BUKKEHAVE","BUKKEHAVE","NGOs"
14242,"Bulandi Welfare and Education Society","BWES","NGOs"
15075,"Bulay Development Organization","BUDO","NGOs"
6332,"Bulgaria","Bulgaria","Government"
7423,"Bulgarian Red Cross","Bulgaria RC","Red Cross / Red Crescent"
7098,"Bundesanstalt Technisches Hilfswerk","Bundesanstalt Technisches Hilfswerk","NGOs"
7654,"BUREAU D'APPUI ET D'ACCOMPAGNEMENT AU DEVELOPPEMENT (BAAD)","BAAD","NGOs"
8410,"Bureau des Nations Unies en Centrafrique (United Nations Peace-Building Support Office in CAR)","BONUCA","UN Agencies"
7655,"Bureau des œuvres médicales diocésaines (BDOM)","BDOM","NGOs"
7656,"Bureau Diocésain de Développement de Kindu (BDD/KINDU)","BDD/KINDU","NGOs"
7437,"Bureau International Catholique de l'Enfance","BICE","NGOs"
12859,"Bureau of Environment and Rehabilitation Organization","BERO","NGOs"
13461,"Burger King","Burger King","Private Orgs. & Foundations"
8949,"Burkina Faso","Burkina Faso","Government"
6841,"Burkinabe Red Cross Society","Burkina Faso RC","Red Cross / Red Crescent"
8951,"Burma Austria Allianz","BAA","NGOs"
14674,"Burnet Institute","BI","Private Orgs. & Foundations"
13448,"Burton D. Morgan Foundation","Burton D. Morgan Foundation","Private Orgs. & Foundations"
5399,"Burundi","Burundi","Government"
6846,"Burundi Red Cross","Burundi RC","Red Cross / Red Crescent"
14756,"Burundikids e.V.","Burundikids e.V.","Private Orgs. & Foundations"
16036,"Bushra Foundation","BF","NGOs"
14419,"Business & Human Rights Resource Centre","BHRRC","NGOs"
15718,"Business and Professional Women Organization","BPWO","NGOs"
8620,"Business Roundtable","BRT","Private Orgs. & Foundations"
16190,"Butterfly Onlus Foundation","Butterfly Onlus Foundation","Private Orgs. & Foundations"
13623,"Buuck Family Foundation","Buuck Family Foundation","Private Orgs. & Foundations"
13842,"C & S Wholesale Grocers","C & S Wholesale Grocers","Private Orgs. & Foundations"
16125,"Cadre de Citoyenneté et de Développement Durable","CCIDD","NGOs"
7497,"Cadre De Concertation Des Intervenants En Faveur De La Jeunesse En Difficulte","CCIJD","Private Orgs. & Foundations"
6654,"CAII - Creative Associates International","CAII","Private Orgs. & Foundations"
16697,"Cairo Institute for Human Rights Studies","CIHRS","NGOs"
14041,"California Endowment","California Endowment","Private Orgs. & Foundations"
13207,"CALMA - Centro de Apoyo de Lactancia Materna","CALMA","NGOs"
5512,"Cambodia","Cambodia","Government"
15384,"Cambodian Mine Action Centre","CMAC","NGOs"
5800,"Cambodian Red Cross","Cambodia RC","Red Cross / Red Crescent"
6471,"Cameroon","Cameroon","Government"
13960,"Cameroon Red Cross Society","Cameroon RC","Red Cross / Red Crescent"
12841,"CAMP ","CAMP ","NGOs"
6307,"Camp Dresser and McKee Incorporated","CDMI","Private Orgs. & Foundations"
8542,"Campagne Suisse Contre les Mines Antipersonnel","CSCMA","Private Orgs. & Foundations"
13031,"Campaign for Female Education","Camfed","NGOs"
8933,"Campana Colombiana Contra Minas","CCCM","NGOs"
13252,"Campbell Soup CO","Campbell Soup CO","Private Orgs. & Foundations"
12934,"CAMPS/CELPA","CAMPS/CELPA","Private Orgs. & Foundations"
12796,"CAN FOUNDATION ","CAN FOUNDATION ","Private Orgs. & Foundations"
5072,"Canada","Canada","Government"
7921,"Canada International Demining Corps","CIDC","Private Orgs. & Foundations"
13453,"Canada Safeway Foundation","Canada Safeway Foundation","Private Orgs. & Foundations"
8107,"CANADEM","CANADEM","NGOs"
7391,"Canadian Baptist Ministries","CBM","Private Orgs. & Foundations"
14413,"Canadian Catholic Organization for Development and Peace","CCODP","Private Orgs. & Foundations"
15589,"Canadian Coalition","Canadian Coalition","Private Orgs. & Foundations"
7141,"Canadian Development and Peace","CDP","NGOs"
7389,"Canadian Food for the Hungry International","CFHI","NGOs"
5804,"Canadian Food Grains Bank","CFGB","NGOs"
7713,"Canadian Healthcare Association","CHA","Private Orgs. & Foundations"
16808,"Canadian Imperial Bank of Commerce","CIBC","Private Orgs. & Foundations"
12897,"Canadian Journalists Free Expression","CJFE","Private Orgs. & Foundations"
13464,"Canadian National Railway Company","Canadian National Railway Company","Private Orgs. & Foundations"
5144,"Canadian Physicians for Aid and Relief","CPAR","NGOs"
5389,"Canadian Red Cross Society","Canada RC","Red Cross / Red Crescent"
7566,"Canadian Relief Foundation","CRF","NGOs"
7514,"Candle Light","CL","Private Orgs. & Foundations"
8011,"Candlelight for Health, Education and Environment","CHEE","NGOs"
16922,"Candles Organization for Peace and Development","COPD","NGOs"
13338,"Canon Group","Canon Group","Private Orgs. & Foundations"
5945,"CARAES","CARAES","NGOs"
15741,"Caravan to Class","CTC","NGOs"
13563,"Cardinal Health, Inc.  ","Cardinal Health, Inc.  ","Private Orgs. & Foundations"
8412,"CARE and SC/US","CARE and SC/US","NGOs"
5828,"CARE Australia","CARE Australia","NGOs"
7359,"CARE Austria","CARE Austria","NGOs"
5100,"CARE Canada","CARE Canada","NGOs"
16582,"Care Czech Republic","Care CZ","NGOs"
15050,"CARE El Salvador","CARE El Salvador","NGOs"
14924,"Care for Children and Old Age in South Sudan","CCOSS","NGOs"
5776,"CARE France","CARE France","NGOs"
6030,"Care Germany","Care Germany","NGOs"
5645,"CARE International","CARE International","NGOs"
13954,"CARE International Switzerland in Sudan","CIS","NGOs"
8572,"CARE Kenya","CARE Kenya","NGOs"
16673,"CARE Luxembourg","CARE Luxembourg","NGOs"
8711,"CARE Myanmar","CARE Myanmar","NGOs"
7468,"CARE Nepal","CARE Nepal","NGOs"
5759,"CARE Netherlands","CARE Netherlands","NGOs"
5550,"CARE Norway","CARE Norway","NGOs"
14465,"Care of Afghan Families","CAF","NGOs"
5723,"Care Peru","Care Peru","NGOs"
7037,"CARE Somalia","CARE Somalia","NGOs"
6041,"Care Sudan","Care Sudan","NGOs"
5585,"CARE USA","CARE USA","NGOs"
7545,"Career Development Education Support","CDES","NGOs"
13777,"CareFusion Corporation","CareFusion","Private Orgs. & Foundations"
13305,"CareSource Foundation","CSF","Private Orgs. & Foundations"
13663,"Carestream Health","Carestream","Private Orgs. & Foundations"
5274,"CARE-UK","CARE-UK","NGOs"
8651,"Cargill","Cargill","Private Orgs. & Foundations"
16911,"CARGOMA","CaDG","Private Orgs. & Foundations"
5564,"Caribbean Development Bank","CDB","Inter-governmental orgs."
6986,"Caribbean Disaster Emergency Response Agency","CDERA","Inter-governmental orgs."
13874,"CARICOM Regional Development Programme","CARICOM RDP","Inter-governmental orgs."
13178,"Caring for Kaela","CFK","NGOs"
7133,"CARITAS","CARITAS","NGOs"
5243,"CARITAS / Catholic Relief Services","CARITAS/CRS","NGOs"
8378,"Caritas Australia","Caritas Australia","NGOs"
5675,"Caritas Austria","Caritas Austria","NGOs"
15974,"Caritas Bolivia","Caritas Bolivia","NGOs"
8520,"CARITAS BUKAVU","CARITAS BUKAVU","NGOs"
14078,"CARITAS BUNIA","CARITAS BUNIA","NGOs"
14079,"CARITAS BUTEMBO","CARITAS BUTEMBO","NGOs"
16238,"Caritas Catholic Diocese of Tombura and Yambo","Caritas DPO-CDTY","NGOs"
16370,"Caritas Centrafricaine","Caritas Centrafricaine","NGOs"
15778,"Caritas Congo","Caritas Congo","NGOs"
16243,"Caritas Czech Republic","Caritas CCR","NGOs"
6108,"Caritas Denmark","Caritas Denmark","NGOs"
8522,"CARITAS DEV GOMA","CARITAS DEV GOMA","NGOs"
15549,"Caritas Dev Kalemie","Caritas Dev Kalemie","NGOs"
7642,"Caritas Développement DRC","Caritas Dev. DRC","NGOs"
14462,"Caritas Développement Niger","CADEV-Niger","NGOs"
14077,"CARITAS DUNGU","CARITAS DUNGU","NGOs"
5722,"Caritas France","Caritas France","NGOs"
8798,"Caritas Germany (DCV)","Caritas Germany (DCV)","NGOs"
14618,"Caritas Haiti","Caritas Haiti","NGOs"
6024,"Caritas Hong kong","Caritas Hong kong","NGOs"
5563,"Caritas Hungary","Caritas Hungary","NGOs"
5549,"Caritas India","Caritas India","NGOs"
7055,"CARITAS INTERNATIONALIS","CI","NGOs"
12708,"Caritas Jerusalem","Caritas Jerusalem","NGOs"
14816,"Caritas Kananga","Caritas Kananga","NGOs"
14436,"Caritas Katanga","Caritas Katanga","NGOs"
8521,"CARITAS KINDU","CARITAS KINDU","NGOs"
8832,"Caritas Lebanon Migrants Center","CLMC","NGOs"
13832,"Caritas Manila","Caritas Manila","NGOs"
8687,"CARITAS Mbandaka","CARITAS Mbandaka","NGOs"
12701,"CARITAS MBUJIMAYI","CARITAS MBUJIMAYI","NGOs"
15982,"Caritas Netherlands","Caritas Netherlands","NGOs"
6210,"Caritas New Zealand","Caritas New Zealand","NGOs"
5548,"Caritas Norway","Caritas Norway","NGOs"
14232,"Caritas Pakistan Multan","CPM","NGOs"
5676,"Caritas Peru","Caritas Peru","NGOs"
15740,"Caritas South Sudan","Caritas South Sudan","NGOs"
5547,"Caritas Spain","Caritas Spain","NGOs"
5546,"Caritas Sweden","Caritas Sweden","NGOs"
8769,"Caritas Switzerland","Caritas Switzerland","NGOs"
8519,"CARITAS TCHUMBE","CARITAS TCHUMBE","NGOs"
16242,"Caritas Torit","CDOT","NGOs"
12862,"CARITAS UVIRA","CARITAS UVIRA","NGOs"
5803,"Caritas/MCC","Caritas/MCC","NGOs"
6195,"Carl Duisberg Gesellschaft","CDG","NGOs"
13740,"Carlson Wagonlit Travel Beheermaatschappij","CWT Beheermaatschappij","Private Orgs. & Foundations"
13625,"Carnegie Corporation of New York","Carnegie Corporation","Private Orgs. & Foundations"
13499,"Carnival Corporations","Carnival Corporations","Private Orgs. & Foundations"
7333,"Carry-over (donors not specified)","Carry-over (donors not specified)","Other"
8367,"CartONG","CartONG","NGOs"
12652,"Casals and Associates","Casals and Associates","Private Orgs. & Foundations"
13540,"Case New Holland","Case New Holland","Private Orgs. & Foundations"
14706,"Casio","Casio","Private Orgs. & Foundations"
8629,"Caterpillar, Inc.","Caterpillar, Inc.","Private Orgs. & Foundations"
8477,"Catholic Agency for Overseas Development","CAFOD","Private Orgs. & Foundations"
16475,"Catholic Caritas Foundation of Nigeria","CCFN","NGOs"
7585,"Catholic Church of Khartoum","Catholic Church of Khartoum","Private Orgs. & Foundations"
5684,"Catholic Church, Germany","Catholic Church, Germany","Private Orgs. & Foundations"
8404,"Catholic Commisssion for Justice and Peace","CCJP","Private Orgs. & Foundations"
12844,"Catholic Development Commission","CADEC","NGOs"
13852,"Catholic Diocese of Erie","Catholic Diocese of Erie","Private Orgs. & Foundations"
8966,"Catholic Diocese of Kericho","CDoK","Private Orgs. & Foundations"
8967,"Catholic Diocese of Nakuru","CDoN","Private Orgs. & Foundations"
8434,"Catholic Diocese of Torit","CDoT","NGOs"
13194,"Catholic Diocese of Yei","Catholic Diocese of Yei","Private Orgs. & Foundations"
13025,"Catholic Medical Missons Board","CMMB","NGOs"
5737,"Catholic Mission","Catholic Mission","Private Orgs. & Foundations"
15976,"Catholic Near East Welfare Association","CNEWA","NGOs"
5375,"Catholic Organisation for Relief and Development Aid","CORDAID","NGOs"
5452,"Catholic Peace Movement","CPM","NGOs"
5612,"Catholic Priest Association for Justice","Catholic Priest Association for Justice","Private Orgs. & Foundations"
5146,"Catholic Relief Services","CRS","NGOs"
8596,"Catholic Relief Services / Austcare","CRS / AUSTCARE","NGOs"
7050,"Caucasian Refugee Council","CRC","NGOs"
12807,"Caucasus Environmental NGO Network","CENN","NGOs"
6248,"CAUSE Canada","CC","Private Orgs. & Foundations"
14148,"Cavish Development Foundation","CDF","NGOs"
15041,"Cavoequiva","Cavoequiva","NGOs"
5359,"CCA","CCA","NGOs"
15136,"CCB Network","CCBN","NGOs"
12891,"CCD","CCD","NGOs"
15137,"CCDO","CCDO","NGOs"
14103,"Cchin HR Organization","Cchin HR Organization","NGOs"
7691,"CDA Collaborative Learning Projects. Inc.","CDACLP","Private Orgs. & Foundations"
15854,"CDCAP","CDCAP","NGOs"
6954,"CDE - University Berne","CDE - University Berne","Private Orgs. & Foundations"
6363,"CDM, Environmental Engineer IQC","CDM, Environmental Engineer IQC","Private Orgs. & Foundations"
6642,"CE & S","CE & S","NGOs"
6722,"CEAR","CEAR","NGOs"
8437,"Cedar Fund","Cedar Fund","NGOs"
8682,"CEDI","CEDI","Private Orgs. & Foundations"
15707,"Ceilu","CEILU","NGOs"
13564,"CEMEX","CEMEX","Private Orgs. & Foundations"
7942,"CEMUBAC (Belgian medical NGO)","CEMUBAC (Belgian medical NGO)","NGOs"
14833,"Centarl Regions Livestock Professional Association","CERELPA","NGOs"
5595,"Center for  Civil Military Relations","CCMR","Private Orgs. & Foundations"
14282,"Center for Advancement of Health and Social Sciences","CAHSS","NGOs"
16689,"Center for Applied Linguistics","CAL","NGOs"
14530,"Center for Citizenship Education","CCE","Private Orgs. & Foundations"
16070,"Center for Civilians in Conflict","The Center","NGOs"
14778,"Center for Culture and Development","CCD","NGOs"
7900,"Center for Defending Freedom of Journalists","CDFJ","NGOs"
8939,"Center for Education and Development","CED","NGOs"
16493,"Center for Emergency Aid and Rehabilitation Inc","CENCERN, INC","NGOs"
16496,"Center for Emergency Aid and Rehabilitation, Inc.","Concern, Inc.","NGOs"
8556,"Center for Human Rights and Democratic Participation","SHAMS","Private Orgs. & Foundations"
8115,"Center for Human Services-University Research Co","CHS","NGOs"
15333,"Center for Humanitarian Services","CHS","NGOs"
16290,"Center for International Studies and Cooperation","CISC","NGOs"
8270,"CENTER FOR JUSTICE AND INT. LAW","CEJIL","NGOs"
16080,"Center for Life and Development","CLD","NGOs"
13121,"Center for Mind Body Medicine","CMBM","NGOs"
8868,"Center for Peace and Democracy","CPD","NGOs"
14789,"Center for Research on the Epidemiology of Disasters","CRED","NGOs"
8814,"Center for the Defence of the Individual","HaMoked","NGOs"
5769,"Center for Victims of Torture","CVT","NGOs"
16721,"Center for Women’s Legal Research and Consulting","CWLRC","NGOs"
14293,"Center of Education, Research, Innovation and Training","CERIT","NGOs"
12837,"Center of Excellence for Rural Development","CERD","NGOs"
12869,"Centers for Disease Control","CDC","NGOs"
16761,"Centers for Disease Control Foundation","CDC Foundation","Private Orgs. & Foundations"
7984,"Central African Human Rights Observatory","OCDH","NGOs"
7570,"Central African Red Cross Society","Central African Republic RC","Red Cross / Red Crescent"
13845,"Central African Republic","Central African Republic","Government"
15985,"Central American Bank for Economic Integration","CABEI","Private Orgs. & Foundations"
6365,"Central Asia Development Group","CADG","Private Orgs. & Foundations"
5728,"Central Asian Free Exchange, USA","CAFE, USA","NGOs"
14703,"Central Community Chest of Japan","CCCJ","NGOs"
8070,"Central Ecuatoriana de Servicios Agricolas","CESA","Private Orgs. & Foundations"
7693,"Central Emergency Response Fund","CERF","UN Agencies"
14111,"Central Mindanao Integrated Livelihood Assistance and Resource Development Foundation, Inc.","CEMILARDEF","NGOs"
14930,"Central Mindanao Youth Center","CMYC","NGOs"
13626,"Central Minnesota Community Foundation ","CMCF","Private Orgs. & Foundations"
13077,"Central Social","Central Social","NGOs"
5932,"Centre canadien d'étude et de coopération internationale (CECI)","CECI","NGOs"
15043,"Centre d’Etudes Economiques et Sociales de l’Afrique de l’Ouest - Pôle Régional Niger","CESAO-PRN","NGOs"
8545,"Centre d'action pour le dévéloppement","CAD","NGOs"
16155,"Centre d'Action pour le Développement Agro Pastoral et Industriel","CADAPI","NGOs"
7067,"Centre d'Alerte et de Prevention des Conflits","CENAP","NGOs"
13941,"Centre d'Appui à la Production Agricole du Sud","CAPAS","Private Orgs. & Foundations"
14793,"Centre d'appui aux femmes et enfants négligés et en difficultés","CEAFEND","NGOs"
16109,"Centre d'Appui aux Initiatives de Développement Local","CAIDEL","NGOs"
14786,"Centre d'appui pour les femmes victimes d'abus sexuels","CAFVAS","NGOs"
13721,"Centre de Communication sur le SIDA et la Santé","CECOSIDA","Private Orgs. & Foundations"
8677,"Centre de Développement Intégral (CDI/Yakoma)","CDI/Yakoma","Private Orgs. & Foundations"
16196,"Centre de Développement Intégré de la Mission de l'Eglise de Dieu","CDI de la MEDIPE","NGOs"
14965,"Centre de Promotion des Femmes Ouvrières","CPFO","NGOs"
16150,"Centre de Promotion Socio-Sanitaire","CEPROSSAN","NGOs"
8271,"Centre de Recherche en Astronomie, Astrophysique et Geophysique","CRAAG","NGOs"
15922,"Centre de Recherche et d'Action pour le Développement","CRAD","NGOs"
14869,"Centre de Recherche et d'Appui aux Initiatives de Développement Intégré","CRAIDI","NGOs"
16459,"Centre de Recherche et d'Intervention en Genre et Développment","CRIGED","NGOs"
12941,"Centre de Recherche Santé","CRS","Private Orgs. & Foundations"
7657,"Centre de rééducation pour l'Enfance délinquante et  défavorisée (CREDD)","CREDD","NGOs"
7020,"Centre de Réflexion Europe Afrique ","CREAF","NGOs"
15864,"Centre de Support en Santé Internationale","CSSI","NGOs"
14539,"Centre d'écoute des femmes et des enfants","CEFE","NGOs"
15689,"Centre d'éducation spécialisée pour les enfants retardés","CESER","NGOs"
7700,"Centre d'encadrement des femmes et enfants deshérités pour l'auto promotion (CEFEDA)","CEFEDA","NGOs"
14149,"Centre d'Enseignement et de Recherche en Action Humanitaire","CERAH","Private Orgs. & Foundations"
7658,"Centre des abandonnés et de Réintégration des enfants orphélins (CAREO)","CAREO","NGOs"
14988,"Centre des ateliers pour la protection de l'environnement","Centre Capey","NGOs"
15856,"Centre d'étude et coopération internationale [BF]","CECI-BF","NGOs"
14996,"Centre d'Excellence des Femmes de Man de l'ONG IFS","CEFM","NGOs"
15849,"Centre d'Information de Conseil et de Documentation sur le SIDA et la Tuberculose","CICDoc","NGOs"
14173,"Centre for Advancement of Health and Social Sciences","CAHSS","Private Orgs. & Foundations"
8577,"Centre for Assault Recovery of Eldoret ","CAR-E","NGOs"
14686,"Centre for Civil and Political Rights","CCPR","NGOs"
5134,"Centre for Common Ground in Angola (CCG)","CCG","NGOs"
7834,"Centre for Democratic Empowerment","CEDE","NGOs"
14143,"Centre for Health, Education and Economic Relief","CHEER","NGOs"
14414,"Centre for Human Rights and Governance","CHRiG","NGOs"
6934,"Centre for Humanitarian Dialogue","CHD","NGOs"
5760,"Centre for International Political Studies","CIPS","Private Orgs. & Foundations"
8460,"Centre for International Studies and Cooperation ","CECI","NGOs"
15139,"Centre for Peace and Development","CPD","NGOs"
5920,"Centre for Peacekeeping and Community Development","CPCD","NGOs"
14677,"Centre for Research on the Epidemiology of Disasters","CRED","Private Orgs. & Foundations"
8827,"Centre for Rights Education and Awareness","CREAW","NGOs"
8098,"Centre for Safety and Development","CSD","NGOs"
7935,"Centre for the Coordination of Natural Disaster Prevention in Central America","CEPREDENAC","UN Agencies"
15557,"Centre for the Poor International","CPI","NGOs"
16787,"Centre for Women and Youth Empowerment","CEWAYE","NGOs"
14849,"Centre Haitien d'Investigation pour le Developpement","CHID","NGOs"
7920,"Centre Haïtien pour la Défense des Droits de l’Enfant ","CHADDE","NGOs"
13767,"Centre Haitien pour la Promotion de l’Agriculture et la Protection de l’Environnement ","CEHPAPE","NGOs"
7061,"CENTRE INDEPENDANT DE RECHERCHES ET D’INITIATIVES POUR LE DIALOGUE ","CIRID","NGOs"
7659,"Centre Notre dame du sacre cœur (CNDSC)","CNDSC","NGOs"
7126,"Centre palestinien des droits de l'homme","Centre palestinien des droits de l'homme","NGOs"
7744,"Centre pour enfants des rues de Bel-Air","Centre pour enfants des rues de Bel-Air","NGOs"
14080,"Centre pour la Promotion de la Sante","CEPROSAN","NGOs"
16560,"Centre pour la Promotion et la Défense des Droits de l'Enfant","CPDE","NGOs"
7499,"Centre Pour L'Autosuffisance Et Le Developpement Integre","CADI","Private Orgs. & Foundations"
8853,"Centre Régional pour l'Eau Potable et l'Assainissement à faible coût","CREPA","NGOs"
12735,"Centre spécialisé d'appui à la promotion et à la modernisation de l'élévage","APROMEL","NGOs"
8197,"Centro Audiovisual Max Stahl Timor Leste","CAMSTL ","Private Orgs. & Foundations"
15787,"Centro de Estudios Rurales y de Agricultura Internacional","CERAI","NGOs"
16870,"Centro de Estudios y Prevencion de Desastres","CEPD","NGOs"
5151,"Centro d'Informazione e Educazione allo Sviluppo","CIES","NGOs"
12915,"Centro Integral de Rehabilitación de Colombia","CIREC","NGOs"
7957,"Centro Internacional De Agricultura Tropical","CIAT","NGOs"
14053,"Centrum voor Afrikaanse Cultuur","CVAC","Private Orgs. & Foundations"
16802,"Cera Products, Inc","Cera Products, Inc","Private Orgs. & Foundations"
16388,"Cerles des Jeunes pour l'Appui au Développement","CJAD","NGOs"
8523,"CESADEMA","CESADEMA","NGOs"
15968,"CESAL Cooperacion al Desarrollo","CESAL","NGOs"
12693,"CEVA Logistics","CEVA Logistics","Private Orgs. & Foundations"
8716,"CFCI","CFCI","NGOs"
8133,"CFD","CFD","NGOs"
5263,"CHA - Coordination of Humanitarian Assistance","CHA","NGOs"
13948,"Chad ","Chad","Government"
13578,"Chadbourne & Parke LLP","C&P","Private Orgs. & Foundations"
16244,"Chaine du Bonheur","Chaine du Bonheur","Private Orgs. & Foundations"
14089,"Chaîne du Bonheur","Chaîne du Bonheur","Private Orgs. & Foundations"
8475,"CHAINES","CHAINES","NGOs"
14319,"Chand Welfare Foundation","CWF","Private Orgs. & Foundations"
13195,"Change Agency Association Yambio","CAA","NGOs"
6945,"Chapman Freeborn Airchartering","CFA","Private Orgs. & Foundations"
15697,"Charitable Aid organization for Sustainable development and Peace","CASP","NGOs"
14487,"Charitable Development Association","CDA","Private Orgs. & Foundations"
16718,"Charitable Mother Association for Development","CMAD","NGOs"
16318,"Charitable Organization for Recovery and Development","CORD","NGOs"
8322,"Charitable Society for Caring and Rehabilitation Iraqi Children","CSCRIC","Private Orgs. & Foundations"
12939,"Charitable Society for Social Welfare","CSSW","NGOs"
16010,"Charities Aid Foundation","CAF","Private Orgs. & Foundations"
14829,"Charity Organization for Rehabilitation and Development","CORD","NGOs"
16218,"Charity Palestinian NGO","CPO","NGOs"
